netA,netB,pvalue,percentage,behavior,pill,sign
visassoc,DMN,0.07831474461058396,0.0,memory,cortisol,pos
visassoc,motor,0.15562196849307197,0.0,memory,cortisol,pos
visassoc,visA,0.07831474461058396,0.0,memory,cortisol,pos
visassoc,visB,5.374776165911754e-06,5.0,memory,cortisol,pos
visassoc,visassoc,0.0808256303506012,0.0,memory,cortisol,pos
visassoc,salience,0.12735694548043042,0.5,memory,cortisol,pos
visassoc,subcort,0.03727589225214234,0.0,memory,cortisol,pos
visassoc,cerebell,0.04509597597968029,0.0,memory,cortisol,pos
salience,medfront,0.20951388626289125,0.5,memory,cortisol,pos
salience,frontoparietal,0.2719666878250786,0.5,memory,cortisol,pos
salience,DMN,0.1198552778132227,0.0,memory,cortisol,pos
salience,motor,0.23307255913192404,0.5,memory,cortisol,pos
salience,visA,0.1198552778132227,0.0,memory,cortisol,pos
salience,visB,0.05366297974893808,0.0,memory,cortisol,pos
salience,visassoc,0.12735694548043042,0.5,memory,cortisol,pos
salience,salience,0.18879472508877315,0.0,memory,cortisol,pos
salience,subcort,0.05767951388909909,0.0,memory,cortisol,pos
salience,cerebell,0.06963554379114234,0.0,memory,cortisol,pos
subcort,medfront,0.06327641186053357,0.0,memory,cortisol,pos
subcort,frontoparietal,0.08426786073427517,0.0,memory,cortisol,pos
subcort,DMN,0.03498400163760229,0.0,memory,cortisol,pos
subcort,motor,0.07106088377242203,0.0,memory,cortisol,pos
subcort,visA,0.03498400163760229,0.0,memory,cortisol,pos
subcort,visB,0.015300033414241687,0.0,memory,cortisol,pos
subcort,visassoc,0.03727589225214234,0.0,memory,cortisol,pos
subcort,salience,0.05767951388909909,0.0,memory,cortisol,pos
subcort,subcort,0.015300033414241687,0.0,memory,cortisol,pos
subcort,cerebell,0.01996438204722406,0.0,memory,cortisol,pos
cerebell,medfront,0.07627002210754097,0.0,memory,cortisol,pos
cerebell,frontoparietal,0.10145596316562477,0.0,memory,cortisol,pos
cerebell,DMN,0.042333047299412674,0.0,memory,cortisol,pos
cerebell,motor,0.08567263690545823,0.0,memory,cortisol,pos
cerebell,visA,0.042333047299412674,0.0,memory,cortisol,pos
cerebell,visB,0.01846734056935262,0.0,memory,cortisol,pos
