netA,netB,pvalue,percentage,stim1,stim2,pill,sign
medfront,cerebell,0.01775723478011071,2.5,alc,tool,cortisol,pos
frontoparietal,medfront,0.594768828263695,0.5,alc,tool,cortisol,pos
frontoparietal,frontoparietal,0.33189211438923627,3.0,alc,tool,cortisol,pos
frontoparietal,DMN,0.3870317180686702,0.0,alc,tool,cortisol,pos
frontoparietal,motor,0.6394678434491683,0.5,alc,tool,cortisol,pos
frontoparietal,visA,0.3870317180686702,0.0,alc,tool,cortisol,pos
frontoparietal,visB,0.19034210834953857,0.0,alc,tool,cortisol,pos
frontoparietal,visassoc,0.40687372675280264,1.0,alc,tool,cortisol,pos
frontoparietal,salience,0.19354538280062072,3.0,alc,tool,cortisol,pos
frontoparietal,subcort,0.20343377310020938,0.0,alc,tool,cortisol,pos
frontoparietal,cerebell,0.030856329563914153,3.5,alc,tool,cortisol,pos
DMN,medfront,0.30443812388263025,0.0,alc,tool,cortisol,pos
DMN,frontoparietal,0.3870317180686702,0.0,alc,tool,cortisol,pos
DMN,DMN,0.17377542247011035,0.0,alc,tool,cortisol,pos
DMN,motor,0.33604856880983625,0.0,alc,tool,cortisol,pos
DMN,visA,0.1792133220712966,0.5,alc,tool,cortisol,pos
DMN,visB,0.08187841471100465,0.5,alc,tool,cortisol,pos
DMN,visassoc,0.1899854055194219,0.0,alc,tool,cortisol,pos
DMN,salience,0.2809726292572301,0.0,alc,tool,cortisol,pos
DMN,subcort,0.08790068848096455,0.0,alc,tool,cortisol,pos
DMN,cerebell,0.1057390313626716,0.0,alc,tool,cortisol,pos
motor,medfront,0.5299974151621761,0.5,alc,tool,cortisol,pos
motor,frontoparietal,0.6394678434491683,0.5,alc,tool,cortisol,pos
motor,DMN,0.33604856880983625,0.0,alc,tool,cortisol,pos
motor,motor,0.5676440729778806,0.0,alc,tool,cortisol,pos
motor,visA,0.33604856880983625,0.0,alc,tool,cortisol,pos
motor,visB,0.16205779505275741,0.0,alc,tool,cortisol,pos
motor,visassoc,0.3540561533666807,0.0,alc,tool,cortisol,pos
motor,salience,0.14689665605245694,2.0,alc,tool,cortisol,pos
motor,subcort,0.17341165882659682,0.0,alc,tool,cortisol,pos
motor,cerebell,0.20658712152647618,1.0,alc,tool,cortisol,pos
visA,medfront,0.30443812388263025,1.0,alc,tool,cortisol,pos
visA,frontoparietal,0.3870317180686702,0.0,alc,tool,cortisol,pos
visA,DMN,0.1792133220712966,0.5,alc,tool,cortisol,pos
visA,motor,0.33604856880983625,0.0,alc,tool,cortisol,pos
visA,visA,0.17377542247011035,1.0,alc,tool,cortisol,pos
visA,visB,0.08187841471100465,0.0,alc,tool,cortisol,pos
visA,visassoc,0.1899854055194219,0.0,alc,tool,cortisol,pos
visA,salience,0.2809726292572301,0.0,alc,tool,cortisol,pos
visA,subcort,0.08790068848096455,0.0,alc,tool,cortisol,pos
visA,cerebell,0.1057390313626716,0.0,alc,tool,cortisol,pos
visB,medfront,0.1449315413197534,0.0,alc,tool,cortisol,pos
visB,frontoparietal,0.19034210834953857,0.0,alc,tool,cortisol,pos
visB,DMN,0.08187841471100465,0.5,alc,tool,cortisol,pos
visB,motor,0.16205779505275741,0.0,alc,tool,cortisol,pos
visB,visA,0.08187841471100465,0.0,alc,tool,cortisol,pos
visB,visB,0.03356567816967204,0.0,alc,tool,cortisol,pos
visB,visassoc,0.08709993297489582,1.5,alc,tool,cortisol,pos
visB,salience,0.1328183536492693,0.5,alc,tool,cortisol,pos
visB,subcort,0.03905289941724621,0.0,alc,tool,cortisol,pos
visB,cerebell,0.04701848382651275,0.0,alc,tool,cortisol,pos
visassoc,medfront,0.3211733543960893,0.5,alc,tool,cortisol,pos
visassoc,frontoparietal,0.40687372675280264,1.0,alc,tool,cortisol,pos
visassoc,DMN,0.1899854055194219,0.0,alc,tool,cortisol,pos
visassoc,motor,0.3540561533666807,0.0,alc,tool,cortisol,pos
visassoc,visA,0.1899854055194219,0.0,alc,tool,cortisol,pos
visassoc,visB,0.08709993297489582,1.5,alc,tool,cortisol,pos
visassoc,visassoc,0.19567444404483236,0.0,alc,tool,cortisol,pos
visassoc,salience,0.296699863746571,1.0,alc,tool,cortisol,pos
visassoc,subcort,0.09348697526220073,0.5,alc,tool,cortisol,pos
visassoc,cerebell,0.006340309544060507,3.0,alc,tool,cortisol,pos
salience,medfront,0.12102271865027536,3.0,alc,tool,cortisol,pos
salience,frontoparietal,0.19354538280062072,3.0,alc,tool,cortisol,pos
salience,DMN,0.2809726292572301,0.0,alc,tool,cortisol,pos
salience,motor,0.14689665605245694,2.0,alc,tool,cortisol,pos
salience,visA,0.2809726292572301,0.0,alc,tool,cortisol,pos
salience,visB,0.1328183536492693,0.5,alc,tool,cortisol,pos
salience,visassoc,0.296699863746571,1.0,alc,tool,cortisol,pos
salience,salience,0.41759817336028016,1.0,alc,tool,cortisol,pos
salience,subcort,0.14229585456300853,0.5,alc,tool,cortisol,pos
salience,cerebell,0.1701308039773778,1.5,alc,tool,cortisol,pos
subcort,medfront,0.15539612485910403,0.0,alc,tool,cortisol,pos
subcort,frontoparietal,0.20343377310020938,0.0,alc,tool,cortisol,pos
subcort,DMN,0.08790068848096455,0.0,alc,tool,cortisol,pos
subcort,motor,0.17341165882659682,0.0,alc,tool,cortisol,pos
subcort,visA,0.08790068848096455,0.0,alc,tool,cortisol,pos
subcort,visB,0.03905289941724621,0.0,alc,tool,cortisol,pos
subcort,visassoc,0.09348697526220073,0.5,alc,tool,cortisol,pos
subcort,salience,0.14229585456300853,0.5,alc,tool,cortisol,pos
subcort,subcort,0.03905289941724621,0.0,alc,tool,cortisol,pos
subcort,cerebell,0.05076931620099834,0.0,alc,tool,cortisol,pos
